title	abbreviation
Zeitschrift für das Abfallrecht	AbfallR
Archiv für die civilistische Praxis	AcP
Archiv für katholisches Kirchenrecht	AfkKR
Archiv für Presserecht	AfP
Die Aktiengesellschaft	AG
Arbeitsrecht im Betrieb	AiB
Aktuelles Steuerrecht	AktStR
Anwaltsnachrichten Ausländer- und Asylrecht	ANA-ZAR
Anwaltsblatt	AnwBl
Archiv des öffentlichen Rechts	AöR
Der AO-Steuer-Berater	AOStB
Arbeitsrecht Aktuell	ArbR
Der Arbeits-Rechts-Berater	ArbRB
Archiv für Rechts- und Sozialphilosophie	ARSP
ArztRecht	ArztR
Anwalt / Anwältin im Sozialrecht	ASR
Schnelldienst Ausländer- und Asylrecht	AuAS
Arzneimittel & Recht	A&R
Agrar- und Umweltrecht	AUR
Arbeit und Recht	AuR
Archiv des Völkerrechts	AVR
Außenwirtschaftliche Praxis	AW-Prax
Baurecht	BauR
Bayerische Verwaltungsblätter	BayVBl
Betriebs-Berater	BB
Zeitschrift für Bank- und Kapitalmarktrecht	BKR
Zeitschrift Blutalkohol	Blutalkohol
Behindertenrecht	Br
BRAK-Mitteilungen	BRAK-Mitt
Betreuungsrechtliche Praxis	BtPrax
Carbon & Climate Law Review	CCLR
Corporate Compliance Zeitschrift	CCZ  [online]
Computer und Recht	CR
Causa Sport	CSR
Newsletter der Deutsch-Amerikanischen Juristenvereinigung e.V.	DAJV Newsletter
Deutsches Autorecht	DAR
Der Betrieb	DB
Deutsche Gerichtsvollzieher Zeitung	DGVZ
Deutsche Notar-Zeitschrift	DNotZ
Der Öffentliche Dienst	DÖD
Die Öffentliche Verwaltung	DÖV
Deutsch-Polnische Juristen-Zeitschrift	DPJZ
Deutsche Richterzeitung	DRiZ
Der Sachverständige	DS
Datenschutz-Berater	DSB
Deutsches Steuerrecht	DStR
Datenschutz und Datensicherheit	DuD
Deutsches Verwaltungsblatt	DVBl
Deutsche Zeitschrift für Wirtschafts- und Insolvenzrecht	DZWIR
Zeitschrift für das gesamte Recht der Energiewirtschaft	EnWZ
Zeitschrift für die gesamte erbrechtliche Praxis	ErbR
Der Erbschafts-Steuer-Berater	ErbStB
Der Ertrags-Steuer-Berater	ErtrStB
Europäische Grundrechte-Zeitschrift	EuGRZ
Europarecht	EuR
Zeitschrift für Europäisches Umwelt- und Planungsrecht	EurUP
EU-Umsatz-Steuer-Berater	EUUStB
Europäische Zeitschrift für Arbeitsrecht	EuZA
Europäische Zeitschrift für Wirtschaftsrecht	EuZW
Zeitschrift für Energie- und Wettbewerbsrecht in der kommunalen Wirtschaft	EWeRK
Entscheidungen zum Wirtschaftsrecht	EWiR
Europäisches Wirtschafts- und Steuerrecht	EWS
Fachanwalt Arbeitsrecht	FA
Familienrecht und Familienverfahrensrecht	FamFR
Der Familien-Rechts-Berater	FamRB
Familienrecht kompakt	FamRK
Zeitschrift für das gesamte Familienrecht	FamRZ
Forum Familienrecht	FF
Food & Recht	FoodR [eher Info-Service]
Food & Recht PRAXIS	Food Prax
Finanz-Rundschau Ertragssteuerrecht	FR
Familie und Recht	FuR
Zeitschrift für Familienunternehmen und Stiftungen	FuS
Goltdammer's Archiv für Strafrecht	GA
Gewerbearchiv	GewArch und
GesundheitsRecht	GesR
GmbH-Rundschau	GmbHR
Der GmbH-Steuer-Berater	GmbHStB
Zeitschrift für Gemeinschaftsprivatrecht	GPR
Gewerblicher Rechtsschutz und Urheberrecht	GRUR
Gewerblicher Rechtsschutz und Urheberrecht - International	GRUR-Int; deutsche Zeitschrift
Gewerblicher Rechtsschutz und Urheberrecht, Praxis im Immaterial- und Wettbewerbsrecht	GRUR-Prax
Zeitschrift für das Gesamte Sicherheitsrecht	GSZ
Gesundheit und Pflege	GuP
Gesellschafts- und Wirtschaftsrecht	GWR
Humboldt Forum Recht	HFR; Online-Zeitschrift
Zeitschrift für Höchstrichterliche Rechtsprechung im Strafrecht	HRRS; Online-Zeitschrift
Zeitschrift für Immissionsschutzrecht und Emissionshandel	I+E
Internationales Handelsrecht	IHR
Informationsbrief Ausländerrecht	InfAuslR oder IAR
Informationen zum Arbeitslosenrecht und Sozialhilferecht	info also
Zeitschrift zum Innovations- und Technikrecht	InTeR
Praxis des Internationalen Privat- und Verfahrensrechts	IPrax
